"group","gene","replicate","time","log2exp"
"group2","143051_at","C",8,11.9144074379196
"group2","143051_at","C",9,12.4992871442842
"group2","143051_at","C",10,12.3859461386857
"group2","143051_at","C",11,12.9260321100535
"group2","143051_at","C",12,12.6260910685865
"group3","141251_at","A",1,12.9352516409443
"group3","141251_at","A",2,13.0955843475752
"group3","141251_at","A",3,12.9610422274092
"group3","141251_at","A",4,11.7733292882115
"group3","141251_at","A",5,10.8829842725656
"group3","141251_at","A",6,10.0492435339582
"group3","141251_at","A",7,10.0931033105501
"group3","141251_at","A",8,10.1020507356706
"group3","141251_at","A",9,10.5179909419054
"group3","141251_at","A",10,12.6326487163031
"group3","141251_at","A",11,12.9901221658667
"group3","141251_at","A",12,12.7925438769381
"group3","141251_at","B",1,12.2576947452715
"group3","141251_at","B",2,13.1582798189275
"group3","141251_at","B",3,13.0489571229388
"group3","141251_at","B",4,12.3216405981837
"group3","141251_at","B",5,11.224643772165
"group3","141251_at","B",6,9.68952004616591
"group3","141251_at","B",7,10.1876366476827
"group3","141251_at","B",8,10.0581266359337
"group3","141251_at","B",9,10.9827178911949
"group3","141251_at","B",10,11.9870152688616
"group3","141251_at","B",11,12.6306556944569
"group3","141251_at","B",12,12.7747432686749
"group3","141251_at","C",1,12.914744083857
"group3","141251_at","C",2,12.8595382234478
"group3","141251_at","C",3,13.0139240495461
"group3","141251_at","C",4,11.8711489068241
"group3","141251_at","C",5,10.5399909250144
"group3","141251_at","C",6,9.93754356225548
"group3","141251_at","C",7,9.8581643376172
"group3","141251_at","C",8,9.79932201413328
"group3","141251_at","C",9,10.8510473205429
"group3","141251_at","C",10,12.0030572768252
"group3","141251_at","C",11,12.9699490678012
"group3","141251_at","C",12,12.8849139910755
"group3","142342_at","A",1,12.3634009710008
"group3","142342_at","A",2,11.6964520926079
"group3","142342_at","A",3,9.37575792816263
"group3","142342_at","A",4,8.37471887073604
"group3","142342_at","A",5,8.49240766760087
"group3","142342_at","A",6,8.44656093738073
"group3","142342_at","A",7,8.50077822654798
"group3","142342_at","A",8,8.31777520355797
"group3","142342_at","A",9,8.55804372406392
"group3","142342_at","A",10,8.21571071227621
"group3","142342_at","A",11,8.55834856552364
"group3","142342_at","A",12,8.6746432028219
"group3","142342_at","B",1,11.3325941136207
"group3","142342_at","B",2,11.4187119575867
"group3","142342_at","B",3,9.51007049604617
"group3","142342_at","B",4,8.65427561049798
"group3","142342_at","B",5,8.55440275507283
"group3","142342_at","B",6,8.67909382109317
"group3","142342_at","B",7,8.3843391054582
"group3","142342_at","B",8,8.58586227889567
"group3","142342_at","B",9,8.58205250610959
"group3","142342_at","B",10,8.57837601157425
"group3","142342_at","B",11,8.7729828851703
"group3","142342_at","B",12,8.70639128729603
"group3","142342_at","C",1,12.2211024674412
"group3","142342_at","C",2,11.9749159969432
"group3","142342_at","C",3,9.68275918746717
"group3","142342_at","C",4,8.29320938084454
"group3","142342_at","C",5,8.4218853031774
"group3","142342_at","C",6,8.36229670515477
"group3","142342_at","C",7,8.39829234049006
"group3","142342_at","C",8,8.52571159065057
"group3","142342_at","C",9,8.43999978085041
"group3","142342_at","C",10,8.50312338528189
"group3","142342_at","C",11,8.48730727524437
"group3","142342_at","C",12,8.52157714851421
"group3","142661_at","A",1,13.9640117064961
"group3","142661_at","A",2,13.5416288846688
"group3","142661_at","A",3,12.3602602936839
"group3","142661_at","A",4,9.83176773043206
"group3","142661_at","A",5,10.2409749002106
"group3","142661_at","A",6,10.3178789325354
"group3","142661_at","A",7,10.6470216247222
"group3","142661_at","A",8,10.727850989159
"group3","142661_at","A",9,10.8159582450786
"group3","142661_at","A",10,11.6939886925924
"group3","142661_at","A",11,11.9831819215667
"group3","142661_at","A",12,12.3165033140878
"group3","142661_at","B",1,13.4255386639283
"group3","142661_at","B",2,13.7484410656749
"group3","142661_at","B",3,12.8707623761338
"group3","142661_at","B",4,9.92845714379337
"group3","142661_at","B",5,10.0583580941516
"group3","142661_at","B",6,10.5370744886115
"group3","142661_at","B",7,10.7603756725223
"group3","142661_at","B",8,10.6970594687239
"group3","142661_at","B",9,10.997629877569
"group3","142661_at","B",10,10.7881124027488
"group3","142661_at","B",11,11.6677718239003
"group3","142661_at","B",12,12.0108870550303
"group3","142661_at","C",1,13.6864267104805
"group3","142661_at","C",2,13.6401507809187
"group3","142661_at","C",3,12.7961518637787
"group3","142661_at","C",4,9.9891964422217
"group3","142661_at","C",5,10.1669080873238
"group3","142661_at","C",6,10.3771617349393
"group3","142661_at","C",7,10.5959116820308
"group3","142661_at","C",8,10.5667440421629
"group3","142661_at","C",9,11.0738558275871
"group3","142661_at","C",10,11.4182597428632
"group3","142661_at","C",11,11.8602049953701
"group3","142661_at","C",12,12.0627104021301
"group3","142709_s_at","A",1,13.591132523022
"group3","142709_s_at","A",2,13.6555380715371
"group3","142709_s_at","A",3,13.5141412324722
"group3","142709_s_at","A",4,11.9194028548118
"group3","142709_s_at","A",5,10.8407158244484
"group3","142709_s_at","A",6,10.5203399039315
"group3","142709_s_at","A",7,10.514882051848
"group3","142709_s_at","A",8,10.6055202544729
"group3","142709_s_at","A",9,10.5506037089884
"group3","142709_s_at","A",10,10.8508843448074
"group3","142709_s_at","A",11,11.1189605855664
"group3","142709_s_at","A",12,11.7437140344801
"group3","142709_s_at","B",1,13.49414257855
"group3","142709_s_at","B",2,13.6381964812617
"group3","142709_s_at","B",3,13.4131733369634
"group3","142709_s_at","B",4,12.7162864456715
"group3","142709_s_at","B",5,10.6762074654957
"group3","142709_s_at","B",6,10.5474270589945
"group3","142709_s_at","B",7,10.694717724056
"group3","142709_s_at","B",8,10.5427908669537
"group3","142709_s_at","B",9,10.638758983046
"group3","142709_s_at","B",10,10.9731639359687
"group3","142709_s_at","B",11,11.0084486551708
"group3","142709_s_at","B",12,11.3716075456109
"group3","142709_s_at","C",1,13.6590182680644
"group3","142709_s_at","C",2,13.7601907409979
"group3","142709_s_at","C",3,13.4450460722302
"group3","142709_s_at","C",4,12.2590010452313
"group3","142709_s_at","C",5,10.7439738274659
"group3","142709_s_at","C",6,10.7012108812099
"group3","142709_s_at","C",7,10.5761395819883
"group3","142709_s_at","C",8,10.4545592241988
"group3","142709_s_at","C",9,10.4425993410204
"group3","142709_s_at","C",10,10.7124232293208
"group3","142709_s_at","C",11,11.0403314731405
"group3","142709_s_at","C",12,11.2579406448728
